Svid,ConstellationType,ConstellationName,UnixTimeMillis,AzimuthDegrees,ElevationDegrees
2,3,glonass,1748155504000.0,197.0,41.0
2,6,galileo,1748156745999.0,294.0,18.0
5,1,navstar,1748154781000.0,285.0,59.0
6,1,navstar,1748153880999.0,63.0,26.0
6,6,galileo,1748153430999.0,137.0,43.0
8,3,glonass,1748153193999.0,40.0,41.0
8,5,beidou,1748152529000.0,312.0,70.0
9,1,navstar,1748153164999.0,43.0,8.0
9,6,galileo,1748156156000.0,156.0,50.0
10,6,galileo,1748152484000.0,27.0,40.0
11,1,navstar,1748153616999.0,23.0,45.0
12,1,navstar,1748153788999.0,254.0,40.0
13,1,navstar,1748155975000.0,156.0,45.0
13,5,beidou,1748154842000.0,292.0,60.0
14,3,glonass,1748152481000.0,286.0,17.0
14,5,beidou,1748152683000.0,41.0,30.0
15,1,navstar,1748154816000.0,200.0,19.0
16,6,galileo,1748155287000.0,217.0,35.0
19,1,navstar,1748152503000.0,120.0,36.0
19,6,galileo,1748154944000.0,40.0,6.0
20,1,navstar,1748152481000.0,327.0,66.0
24,3,glonass,1748153734999.0,342.0,29.0
25,1,navstar,1748153240999.0,293.0,21.0
28,5,beidou,1748154395999.0,27.0,61.0
33,5,beidou,1748152595000.0,52.0,57.0
36,6,galileo,1748152784000.0,295.0,22.0
37,5,beidou,1748152481000.0,241.0,16.0
38,5,beidou,1748152793000.0,342.0,68.0
40,5,beidou,1748152671000.0,113.0,68.0
41,5,beidou,1748152481000.0,186.0,62.0
43,5,beidou,1748156345999.0,121.0,19.0
