Svid,ConstellationType,ConstellationName,UnixTimeMillis,AzimuthDegrees,ElevationDegrees
1,1.0,navstar,1782166011999.0,33.0,25.0
1,3.0,glonass,1782169080000.0,91.0,6.0
2,3.0,glonass,1782168116999.0,145.0,5.0
2,6.0,galileo,1782166017999.0,76.0,42.0
3,1.0,navstar,1782166019999.0,87.0,32.0
3,3.0,glonass,1782171430000.0,172.0,6.0
6,1.0,navstar,1782166010999.0,229.0,43.0
6,5.0,beidou,1782166058999.0,148.0,34.0
7,1.0,navstar,1782166077999.0,178.0,41.0
7,5.0,beidou,1782166093999.0,174.0,55.0
7,6.0,galileo,1782166153999.0,254.0,12.0
8,5.0,beidou,1782166011999.0,4.0,40.0
8,6.0,galileo,1782166049999.0,205.0,18.0
9,1.0,navstar,1782166175999.0,166.0,8.0
9,5.0,beidou,1782166031999.0,176.0,21.0
10,5.0,beidou,1782166012999.0,185.0,69.0
11,1.0,navstar,1782166094999.0,221.0,7.0
11,5.0,beidou,1782166010999.0,1.0,45.0
12,3.0,glonass,1782166051999.0,140.0,16.0
12,5.0,beidou,1782166045999.0,152.0,16.0
13,3.0,glonass,1782166018999.0,110.0,60.0
13,6.0,galileo,1782166202999.0,214.0,14.0
14,1.0,navstar,1782166012999.0,357.0,48.0
14,3.0,glonass,1782166008547.0,351.0,45.0
15,3.0,glonass,1782166901000.0,335.0,5.0
15,6.0,galileo,1782166004547.0,216.0,66.0
17,1.0,navstar,1782166003547.0,332.0,36.0
17,3.0,glonass,1782166016999.0,261.0,44.0
18,3.0,glonass,1782166059999.0,227.0,9.0
19,1.0,navstar,1782166133999.0,295.0,25.0
19,5.0,beidou,1782166194999.0,177.0,11.0
20,5.0,beidou,1782166164999.0,132.0,14.0
21,1.0,navstar,1782171331000.0,202.0,13.0
22,1.0,navstar,1782166012999.0,342.0,34.0
22,5.0,beidou,1782171331000.0,196.0,6.0
24,3.0,glonass,1782166008547.0,348.0,46.0
26,5.0,beidou,1782170503000.0,321.0,7.0
27,6.0,galileo,1782166053999.0,320.0,9.0
29,5.0,beidou,1782166008547.0,326.0,52.0
30,1.0,navstar,1782166010999.0,242.0,60.0
30,5.0,beidou,1782166010999.0,27.0,25.0
30,6.0,galileo,1782166011999.0,359.0,43.0
34,6.0,galileo,1782166011999.0,32.0,58.0
35,5.0,beidou,1782166020999.0,259.0,25.0
36,5.0,beidou,1782166004547.0,22.0,84.0
36,6.0,galileo,1782166328999.0,33.0,6.0
39,5.0,beidou,1782166013999.0,327.0,34.0
194,4.0,qzs,1782166012999.0,60.0,47.0
195,4.0,qzs,1782166012999.0,57.0,53.0
199,4.0,qzs,1782166019999.0,117.0,63.0
