Svid,ConstellationType,ConstellationName,UnixTimeMillis,AzimuthDegrees,ElevationDegrees
1,3.0,glonass,1784768816682.0,35.0,39.0
1,5.0,beidou,1784768816682.0,105.0,50.0
2,3.0,glonass,1784768816682.0,131.0,73.0
2,5.0,beidou,1784768816682.0,249.0,56.0
3,3.0,glonass,1784768817682.0,195.0,24.0
3,5.0,beidou,1784768818682.0,160.0,77.0
3,6.0,galileo,1784768823000.0,53.0,11.0
4,5.0,beidou,1784768818682.0,97.0,29.0
5,1.0,navstar,1784768816682.0,279.0,54.0
6,1.0,navstar,1784768816682.0,53.0,20.0
6,5.0,beidou,1784768816682.0,352.0,64.0
7,5.0,beidou,1784768824000.0,169.0,15.0
7,6.0,galileo,1784768818682.0,169.0,35.0
8,5.0,beidou,1784768817682.0,66.0,63.0
8,6.0,galileo,1784768817682.0,99.0,42.0
9,5.0,beidou,1784768816682.0,277.0,68.0
10,5.0,beidou,1784768816682.0,179.0,16.0
11,1.0,navstar,1784768817682.0,13.0,34.0
11,5.0,beidou,1784768816682.0,346.0,35.0
12,1.0,navstar,1784768816682.0,274.0,41.0
12,5.0,beidou,1784768816682.0,208.0,54.0
13,1.0,navstar,1784768831000.0,268.0,37.0
13,3.0,glonass,1784768969000.0,183.0,7.0
13,6.0,galileo,1784768820683.0,346.0,34.0
14,3.0,glonass,1784768888000.0,238.0,24.0
15,1.0,navstar,1784768816682.0,203.0,19.0
15,3.0,glonass,1784768816682.0,290.0,13.0
15,6.0,galileo,1784768823000.0,43.0,19.0
17,1.0,navstar,1784768816682.0,129.0,18.0
17,3.0,glonass,1784768816682.0,334.0,12.0
19,1.0,navstar,1784768816682.0,112.0,45.0
19,5.0,beidou,1784768971000.0,210.0,26.0
20,1.0,navstar,1784768816682.0,177.0,41.0
20,5.0,beidou,1784768816682.0,194.0,75.0
21,1.0,navstar,1784768817682.0,352.0,57.0
21,6.0,galileo,1784768817682.0,291.0,41.0
22,1.0,navstar,1784768966000.0,159.0,7.0
23,3.0,glonass,1784768846000.0,90.0,9.0
23,6.0,galileo,1784769957000.0,317.0,3.0
24,1.0,navstar,1784769588000.0,212.0,3.0
24,3.0,glonass,1784768831000.0,27.0,30.0
25,1.0,navstar,1784768823000.0,301.0,14.0
26,6.0,galileo,1784768834000.0,294.0,15.0
27,5.0,beidou,1784768816682.0,90.0,26.0
27,6.0,galileo,1784768817682.0,206.0,54.0
29,5.0,beidou,1784768816682.0,327.0,19.0
29,6.0,galileo,1784769971000.0,203.0,5.0
30,1.0,navstar,1784768971000.0,115.0,3.0
30,5.0,beidou,1784768816682.0,21.0,48.0
30,6.0,galileo,1784768828000.0,162.0,17.0
32,5.0,beidou,1784768816682.0,38.0,43.0
32,6.0,galileo,1784768861000.0,73.0,29.0
36,5.0,beidou,1784768856000.0,244.0,20.0
122,2.0,sbas,1784769762000.0,99.0,46.0
127,2.0,sbas,1784768996000.0,264.0,30.0
128,2.0,sbas,1784769071000.0,359.0,11.0
194,4.0,qzs,1784768816682.0,143.0,47.0
195,4.0,qzs,1784768816682.0,44.0,43.0
199,4.0,qzs,1784768816682.0,117.0,63.0
