Svid,ConstellationType,ConstellationName,UnixTimeMillis,AzimuthDegrees,ElevationDegrees
2,3,glonass,1748165452000.0,5.0,41.0
3,3,glonass,1748165710000.0,283.0,48.0
3,6,galileo,1748169254000.0,240.0,31.0
4,3,glonass,1748165059000.0,236.0,11.0
5,1,navstar,1748164942999.0,42.0,34.0
6,6,galileo,1748165201000.0,37.0,33.0
10,1,navstar,1748168421999.0,292.0,5.0
10,6,galileo,1748165060000.0,119.0,20.0
11,1,navstar,1748165059000.0,124.0,14.0
11,6,galileo,1748168102999.0,127.0,33.0
12,3,glonass,1748169444000.0,65.0,10.0
13,1,navstar,1748165228000.0,36.0,41.0
15,1,navstar,1748164859999.0,335.0,74.0
17,3,glonass,1748164859999.0,353.0,70.0
18,1,navstar,1748169091000.0,330.0,62.0
18,3,glonass,1748168703000.0,323.0,54.0
20,5,beidou,1748168970000.0,287.0,32.0
23,1,navstar,1748164859999.0,295.0,23.0
23,5,beidou,1748165173000.0,123.0,14.0
24,1,navstar,1748166838999.0,151.0,47.0
24,3,glonass,1748164997000.0,144.0,46.0
29,1,navstar,1748168102999.0,215.0,37.0
29,5,beidou,1748168404999.0,317.0,16.0
30,5,beidou,1748164859999.0,312.0,47.0
32,1,navstar,1748169341000.0,240.0,11.0
32,5,beidou,1748164859999.0,318.0,57.0
36,6,galileo,1748165724000.0,17.0,65.0
39,5,beidou,1748165070000.0,147.0,42.0
41,5,beidou,1748164859999.0,33.0,30.0
195,4,qzs,1748165725000.0,114.0,56.0
