Svid,ConstellationType,ConstellationName,UnixTimeMillis,AzimuthDegrees,ElevationDegrees
2,6,galileo,1746335665000.0,189.0,77.0
3,3,glonass,1746335603000.0,143.0,26.0
3,6,galileo,1746335603000.0,178.0,5.0
5,1,navstar,1746335901000.0,211.0,6.0
6,5,beidou,1746335603000.0,191.0,14.0
9,5,beidou,1746335603000.0,205.0,20.0
13,5,beidou,1746335628000.0,198.0,56.0
14,1,navstar,1746335603000.0,159.0,38.0
14,3,glonass,1746335603000.0,180.0,19.0
15,3,glonass,1746335608000.0,233.0,54.0
15,6,galileo,1746335630000.0,256.0,23.0
20,1,navstar,1746335613000.0,212.0,39.0
22,1,navstar,1746335603000.0,166.0,61.0
23,5,beidou,1746335629000.0,236.0,44.0
25,5,beidou,1746335603000.0,180.0,21.0
25,6,galileo,1746335603000.0,151.0,26.0
33,5,beidou,1746335603000.0,148.0,40.0
39,5,beidou,1746335603000.0,177.0,7.0
41,5,beidou,1746335603000.0,190.0,9.0
