Svid,ConstellationType,ConstellationName,UnixTimeMillis,AzimuthDegrees,ElevationDegrees
2,3,glonass,1748161176999.0,312.0,71.0
3,3,glonass,1748160511999.0,223.0,27.0
4,6,galileo,1748161884000.0,40.0,25.0
5,1,navstar,1748161480999.0,12.0,44.0
5,6,galileo,1748161695000.0,203.0,43.0
9,6,galileo,1748163835999.0,41.0,66.0
10,5,beidou,1748162979000.0,211.0,50.0
11,1,navstar,1748162797000.0,110.0,25.0
13,1,navstar,1748162814000.0,48.0,59.0
13,5,beidou,1748160178999.0,321.0,49.0
15,1,navstar,1748160220999.0,214.0,60.0
17,3,glonass,1748160388999.0,342.0,30.0
20,1,navstar,1748160189999.0,40.0,31.0
20,5,beidou,1748162202000.0,238.0,12.0
23,1,navstar,1748162337000.0,277.0,16.0
23,3,glonass,1748160745999.0,129.0,18.0
24,3,glonass,1748162780000.0,114.0,61.0
25,1,navstar,1748160178999.0,240.0,12.0
27,5,beidou,1748160178999.0,345.0,70.0
28,5,beidou,1748160227999.0,123.0,57.0
29,1,navstar,1748160178999.0,309.0,47.0
30,5,beidou,1748162697000.0,321.0,34.0
32,5,beidou,1748162648000.0,286.0,59.0
40,5,beidou,1748160217999.0,172.0,50.0
41,5,beidou,1748161738000.0,20.0,47.0
195,4,qzs,1748164238999.0,105.0,57.0
